product,brand,original_price,discount_rate
Nike Baseball (MLB Seattle Mariners),Nike,65.0,10
Kentucky,Nike,24.97,10
Justin Fields Chicago Bears,Nike,175.0,0
Air Jordan 1 Elevate High SE,Nike,155.0,0
Nike Dri-FIT Game (MLB Chicago White Sox),Nike,55.0,10
Kentucky,Nike,53.97,0
Jordan x DJ Khaled,Nike,150.0,25
Nike City Connect (MLB Atlanta Braves),Nike,40.0,0
Nike,Nike,30.0,0
Netherlands,Nike,40.0,0
Nike Sportswear,Nike,19.97,0
Nike Therma City Connect Pregame (MLB Texas Rangers),Nike,85.0,0
Tottenham Club Fleece,Nike,70.0,0
Nike Dri-FIT Sideline (NFL Baltimore Ravens),Nike,55.0,0
LA Clippers City Edition,Nike,27.97,0
Nike Fashion (NFL San Francisco 49ers),Nike,35.0,0
2023 All-Star Game,Nike,55.0,0
Nike Dri-FIT Team Agility Logo Franchise (MLB Oakland Athletics),Nike,55.0,10
Nike Gym (MLB New York Yankees),Nike,80.0,10
U.S.,Nike,30.0,0
Korea 2022 Stadium Home,Nike,80.0,0
Nike Dri-FIT Sideline Victory (NFL Miami Dolphins),Nike,70.0,0
Nike Dri-FIT Sideline Team (NFL Tampa Bay Buccaneers),Nike,45.0,0
Ohio State,Nike,25.97,0
Nike Statement Ballgame (MLB New York Yankees),Nike,60.0,20
NFL Kansas City Chiefs Super Bowl LVII (Patrick Mahomes),Nike,42.0,0
Nike Spirit Gym Vintage (NFL Green Bay Packers),Nike,75.0,10
Team 31 Courtside,Nike,165.0,0
All-Star Courtside,Nike,31.97,0
Australia 2023 Stadium Home,Nike,95.0,0
Nike Athletic (NFL New York Giants),Nike,60.0,0
Houston Astros Wordmark,Nike,26.0,0
Jordan 1 Mid TD,Nike,150.0,0
Cleveland Browns Sideline,Nike,110.0,25
Jordan 1 Mid SE,Nike,80.0,0
Milwaukee Bucks,Nike,35.0,10
Nike City Connect (MLB San Francisco Giants),Nike,40.0,0
Juan Soto National League 2023 All-Star Game,Nike,195.0,0
Nike Dri-FIT Swift,Nike,110.0,0
Ohio State Icon Clash,Nike,26.97,20
Detroit Tigers Primetime Pro,Nike,32.0,0
Sophia Smith USWNT 2023 Stadium Away,Nike,130.0,0
Jordan Lil' Champ Gripper Socks (3 Pairs),Nike,12.0,0
Nike Local (NFL New Orleans Saints),Nike,35.0,0
Arizona Diamondbacks Classic99 Color Block,Nike,28.0,0
2023 All-Star Game,Nike,80.0,10
Jordan Artist Series by Parker Duncan,Nike,29.97,20
Nike Dri-FIT Travel (MLB Oakland Athletics),Nike,125.0,0
Canada Club Fleece,Nike,65.0,0
Golden State Warriors Showtime,Nike,155.0,0
Nike Velocity Team (MLB Detroit Tigers),Nike,40.0,20
Dallas Mavericks Courtside City Edition,Nike,30.97,0
Nike Dri-FIT Velocity Practice (MLB Arizona Diamondbacks),Nike,40.0,0
Nike HyperStorm,Nike,20.97,0
Boston Celtics Courtside,Nike,50.0,0
Nike Team Slogan (NFL Baltimore Ravens),Nike,45.0,0
Nike Dri-FIT Team (MLB San Diego Padres),Nike,90.0,0
Nike Therma City Connect Pregame (MLB Cincinnati Reds),Nike,85.0,10
Nike Dri-FIT Sideline Velocity (NFL Tennessee Titans),Nike,40.0,0
Nike Dri-FIT Sideline (NFL Miami Dolphins),Nike,55.0,0
Paris Saint-Germain Club Fleece,Nike,80.0,0
Nike College Club (Michigan),Nike,43.97,0
USMNT,Nike,30.0,0
Nike Dri-FIT Velocity Practice (MLB Los Angeles Dodgers),Nike,40.0,0
Nike Sportswear Storm-FIT Legacy,Nike,98.97,25
Ja Morant Grizzlies,Nike,35.0,0
Nike City Connect Dugout (MLB Chicago Cubs),Nike,220.0,20
Jordan,Nike,29.97,0
Nike Next Level (MLB Los Angeles Dodgers),Nike,70.0,25
Oregon State Beavers Bench,Nike,40.0,25
Nike Air Club Fleece,Nike,70.0,0
Nike Force 1 LV8 2,Nike,37.97,0
Nike Air Force 1 ’07 LX,Nike,84.97,0
Nike Dri-FIT Game (MLB Oakland Athletics),Nike,55.0,0
St. Louis Cardinals Americana,Nike,40.0,0
